Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2	ENAH_HUMAN	67 kDa	4	7	5	5	6	4	2	1	0	1	0	1
Neurogenic locus notch homolog protein 3 OS=Homo sapiens GN=NOTCH3 PE=1 SV=2	NOTC3_HUMAN	244 kDa	0	0	0	0	0	0	10	5	4	5	6	6
Cystatin-SN OS=Homo sapiens GN=CST1 PE=1 SV=3	CYTN_HUMAN	16 kDa	4	5	8	6	4	6	0	0	0	0	0	0
Exostosin-2 OS=Homo sapiens GN=EXT2 PE=1 SV=1	EXT2_HUMAN	82 kDa	5	3	5	5	5	4	3	5	5	8	5	5
6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2	6PGL_HUMAN	28 kDa	4	4	7	4	4	3	4	3	1	4	1	1
40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1	RS28_HUMAN	8 kDa	3	5	5	4	6	5	6	5	6	4	5	6
Pirin OS=Homo sapiens GN=PIR PE=1 SV=1	PIR_HUMAN	32 kDa	1	1	1	1	1	1	5	7	3	8	4	5
Biliverdin reductase A OS=Homo sapiens GN=BLVRA PE=1 SV=2	BIEA_HUMAN	33 kDa	4	5	4	2	3	2	7	6	3	4	4	4
Protein S100-A16 OS=Homo sapiens GN=S100A16 PE=1 SV=1	S10AG_HUMAN	12 kDa	6	7	7	6	6	6	3	3	3	2	2	3
Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1	SMD3_HUMAN	14 kDa	5	6	6	5	4	3	5	4	5	4	4	4
Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1	XPO1_HUMAN	123 kDa	3	6	3	2	3	4	6	5	3	1	3	2
Four and a half LIM domains protein 2 OS=Homo sapiens GN=FHL2 PE=1 SV=3	FHL2_HUMAN	32 kDa	7	7	8	7	6	5	3	3	1	3	4	1
Neurolysin, mitochondrial OS=Homo sapiens GN=NLN PE=1 SV=1	NEUL_HUMAN	81 kDa	1	2	2	4	2	2	4	4	8	9	4	7
Serpin B9 OS=Homo sapiens GN=SERPINB9 PE=1 SV=1	SPB9_HUMAN	42 kDa	2	2	2	6	4	3	7	6	3	3	5	4
Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3	ENOG_HUMAN	47 kDa	58	49	40	55	42	34	79	75	47	103	73	57
Carbohydrate sulfotransferase 3 OS=Homo sapiens GN=CHST3 PE=1 SV=3	CHST3_HUMAN	55 kDa	7	7	6	10	10	7	1	2	1	2	2	1
Calpain small subunit 1 OS=Homo sapiens GN=CAPNS1 PE=1 SV=1	CPNS1_HUMAN	28 kDa	6	8	6	4	6	3	4	3	2	2	1	0
26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3	PSMD2_HUMAN	100 kDa	4	3	4	3	2	2	2	3	2	1	0	0
Discoidin, CUB and LCCL domain-containing protein 1 OS=Homo sapiens GN=DCBLD1 PE=2 SV=2	DCBD1_HUMAN	78 kDa	4	8	7	9	6	6	0	1	0	0	1	1
Collagen and calcium-binding EGF domain-containing protein 1 OS=Homo sapiens GN=CCBE1 PE=1 SV=1	CCBE1_HUMAN	44 kDa	8	6	7	9	10	11	0	0	0	1	0	0
Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2	THIC_HUMAN	41 kDa	5	6	3	7	4	5	3	5	4	3	4	5
SUMO-activating enzyme subunit 1 OS=Homo sapiens GN=SAE1 PE=1 SV=1	SAE1_HUMAN	38 kDa	2	2	4	3	4	3	5	8	3	3	5	3
D-tyrosyl-tRNA(Tyr) deacylase 1 OS=Homo sapiens GN=DTD1 PE=1 SV=2	DTD1_HUMAN	23 kDa	4	4	4	7	4	3	5	6	4	5	3	4
Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2	HNRH3_HUMAN	37 kDa	3	2	3	2	2	1	1	2	3	2	2	2
Collagen alpha-2(V) chain OS=Mus musculus GN=Col5a2 PE=1 SV=1	CO5A2_MOUSE	145 kDa	48	45	37	51	26	53	18	16	0	24	28	13
C-C motif chemokine 2 OS=Homo sapiens GN=CCL2 PE=1 SV=1	CCL2_HUMAN	11 kDa	6	10	6	12	10	0	0	0	0	0	0	0
Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2	CYTB_HUMAN	11 kDa	4	5	2	6	2	4	6	5	3	6	4	3
Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4	ADHX_HUMAN	40 kDa	6	5	4	1	6	1	2	4	2	4	3	2
Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens GN=PPP2R4 PE=1 SV=3	PTPA_HUMAN	41 kDa	3	3	3	4	4	7	4	5	4	1	2	4
ADP-ribosyl cyclase 2 OS=Homo sapiens GN=BST1 PE=1 SV=2	BST1_HUMAN	36 kDa	0	2	1	2	2	1	3	5	3	8	6	7
Pre-mRNA-processing factor 19 OS=Homo sapiens GN=PRPF19 PE=1 SV=1	PRP19_HUMAN	55 kDa	1	5	4	5	4	6	5	1	3	0	0	1
40S ribosomal protein S21 OS=Homo sapiens GN=RPS21 PE=1 SV=1	RS21_HUMAN	9 kDa	4	3	4	3	3	3	5	4	5	6	3	5
Golgi apparatus protein 1 OS=Homo sapiens GN=GLG1 PE=1 SV=2	GSLG1_HUMAN	135 kDa	1	1	1	0	1	1	6	1	3	8	3	7
FACT complex subunit SPT16 OS=Homo sapiens GN=SUPT16H PE=1 SV=1	SP16H_HUMAN	120 kDa	6	6	7	4	2	7	3	4	3	2	0	2
Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3	MPRI_HUMAN	274 kDa	0	0	1	0	0	0	3	7	3	2	4	4
Ephrin type-A receptor 2 OS=Homo sapiens GN=EPHA2 PE=1 SV=2	EPHA2_HUMAN	108 kDa	3	5	3	5	2	3	4	4	5	3	5	4
Disintegrin and metalloproteinase domain-containing protein 17 OS=Homo sapiens GN=ADAM17 PE=1 SV=1	ADA17_HUMAN	93 kDa	4	2	1	3	2	2	1	1	2	1	1	1
Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=5	EF1D_HUMAN	31 kDa	5	7	6	5	3	3	4	6	3	2	0	3
Procollagen C-endopeptidase enhancer 2 OS=Homo sapiens GN=PCOLCE2 PE=1 SV=1	PCOC2_HUMAN	46 kDa	0	0	1	2	0	0	5	7	5	4	6	4
Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	H4_HUMAN	11 kDa	6	5	4	7	5	6	0	4	0	5	6	3
Latexin OS=Homo sapiens GN=LXN PE=1 SV=2	LXN_HUMAN	26 kDa	3	3	4	5	1	3	4	4	4	4	4	4
Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2	ECH1_HUMAN	36 kDa	3	2	1	2	2	2	5	5	2	5	6	7
Splicing factor 3B subunit 1 OS=Homo sapiens GN=SF3B1 PE=1 SV=3	SF3B1_HUMAN	146 kDa	1	3	4	5	2	2	4	5	4	5	3	2
Ribosome biogenesis protein WDR12 OS=Homo sapiens GN=WDR12 PE=1 SV=2	WDR12_HUMAN	48 kDa	2	1	3	2	2	2	3	7	4	4	4	6
Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens GN=EIF2S3 PE=1 SV=3	IF2G_HUMAN	51 kDa	4	4	3	4	4	3	7	5	6	3	2	1
Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens GN=PPP2CA PE=1 SV=1	PP2AA_HUMAN	36 kDa	2	2	5	5	2	6	4	4	4	5	4	6
Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2	CAPG_HUMAN	38 kDa	6	8	7	6	5	2	4	3	4	1	3	3
Protein FAM3C OS=Homo sapiens GN=FAM3C PE=1 SV=1	FAM3C_HUMAN	25 kDa	3	1	2	1	0	3	4	7	3	5	7	4
Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4	PRDX5_HUMAN	22 kDa	4	4	7	4	0	3	5	5	3	2	1	3
Tsukushin OS=Homo sapiens GN=TSKU PE=2 SV=3	TSK_HUMAN	38 kDa	2	2	2	2	1	0	7	10	5	5	7	3
Palmitoyl-protein thioesterase 1 OS=Homo sapiens GN=PPT1 PE=1 SV=1	PPT1_HUMAN	34 kDa	0	0	0	1	1	0	7	11	5	4	1	2
Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2	GMFB_HUMAN	17 kDa	5	3	3	5	3	4	4	3	6	5	3	6
Calcineurin-like phosphoesterase domain-containing protein 1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3	CPPED_HUMAN	36 kDa	5	4	6	5	4	3	3	3	4	3	4	3
Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=1 SV=4	DHSO_HUMAN	38 kDa	3	2	3	3	2	4	5	6	3	6	4	4
Urokinase plasminogen activator surface receptor OS=Homo sapiens GN=PLAUR PE=1 SV=1	UPAR_HUMAN	37 kDa	7	5	6	5	5	5	3	3	1	4	2	2
Tissue alpha-L-fucosidase OS=Homo sapiens GN=FUCA1 PE=1 SV=4	FUCO_HUMAN	54 kDa	1	1	1	0	1	1	3	6	5	9	4	8
Desmocollin-2 OS=Homo sapiens GN=DSC2 PE=1 SV=1	DSC2_HUMAN	100 kDa	5	5	7	4	6	8	0	0	0	0	0	0
Interleukin-8 OS=Homo sapiens GN=IL8 PE=1 SV=1	IL8_HUMAN	11 kDa	3	6	6	4	6	7	0	0	0	0	0	0
Vacuolar protein sorting-associated protein 26A OS=Homo sapiens GN=VPS26A PE=1 SV=2	VP26A_HUMAN	38 kDa	2	2	2	5	3	7	2	3	4	4	2	3
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1	PP1A_HUMAN	38 kDa	4	5	2	5	5	4	2	3	2	3	1	1
Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2	CISY_HUMAN	52 kDa	2	1	2	4	4	4	4	3	3	5	3	2
Cellular nucleic acid-binding protein OS=Mus musculus GN=Cnbp PE=2 SV=2	CNBP_MOUSE	20 kDa	7	3	4	2	4	4	7	5	5	4	0	4
Insulin growth factor-like family member 1 OS=Homo sapiens GN=IGFL1 PE=1 SV=1	IGFL1_HUMAN	12 kDa	8	8	6	8	9	9	0	0	0	2	0	1
Transcription factor BTF3 OS=Homo sapiens GN=BTF3 PE=1 SV=1	BTF3_HUMAN	22 kDa	2	2	3	1	2	1	8	9	8	3	1	1
Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1	SDCB1_HUMAN	32 kDa	1	2	0	0	1	1	5	6	5	7	6	5
Neurotensin/neuromedin N OS=Homo sapiens GN=NTS PE=1 SV=2	NEUT_HUMAN	20 kDa	0	0	0	1	0	0	7	4	6	6	6	4
Multiple coagulation factor deficiency protein 2 OS=Homo sapiens GN=MCFD2 PE=1 SV=1	MCFD2_HUMAN	16 kDa	9	9	2	8	0	7	1	0	0	1	6	0
Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2	HBB_HUMAN (+1)	16 kDa	2	2	2	3	3	2	4	2	3	3	2	3
Beta-1,4-galactosyltransferase 5 OS=Homo sapiens GN=B4GALT5 PE=2 SV=1	B4GT5_HUMAN	45 kDa	0	3	3	0	2	4	4	4	4	0	4	3
Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1	PPIF_HUMAN	22 kDa	2	2	2	3	3	4	3	2	4	5	4	5
Protocadherin-9 OS=Homo sapiens GN=PCDH9 PE=1 SV=2	PCDH9_HUMAN	136 kDa	1	2	0	1	1	1	5	3	5	8	4	5
Spectrin beta chain, brain 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3	SPTN2_HUMAN	271 kDa	0	3	2	0	6	3	3	3	3	0	3	3
Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4	SAFB1_HUMAN	103 kDa	0	1	3	4	0	2	6	5	5	6	3	6
Hemopexin OS=Bos taurus GN=HPX PE=2 SV=1	HEMO_BOVIN	52 kDa	0	1	2	1	1	2	3	0	2	5	4	2
N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1	DDAH2_HUMAN	30 kDa	5	4	5	3	5	2	2	1	0	1	0	1
Kinectin OS=Homo sapiens GN=KTN1 PE=1 SV=1	KTN1_HUMAN	156 kDa	3	6	5	4	4	2	5	6	4	1	0	0
Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	GGCT_HUMAN	21 kDa	3	5	3	6	2	3	4	4	5	6	3	3
Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3	PGRC1_HUMAN	22 kDa	3	4	3	5	3	3	5	4	2	4	5	4
Protein phosphatase 1G OS=Homo sapiens GN=PPM1G PE=1 SV=1	PPM1G_HUMAN	59 kDa	2	2	2	1	1	1	8	11	8	2	3	2
KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1	KHDR1_HUMAN	48 kDa	3	4	5	5	5	4	2	3	2	3	2	1
Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2	OTUB1_HUMAN	31 kDa	1	1	2	3	1	2	12	7	5	6	2	3
Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4	U2AF2_HUMAN	54 kDa	7	4	6	3	6	2	3	2	2	3	1	0
Growth-regulated alpha protein OS=Homo sapiens GN=CXCL1 PE=1 SV=1	GROA_HUMAN	11 kDa	6	7	5	8	6	8	1	1	0	1	0	0
Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=1 SV=1	SQSTM_HUMAN	48 kDa	0	0	0	0	0	1	10	5	3	9	6	5
Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2	SPIT2_HUMAN	28 kDa	0	1	0	0	0	0	8	7	7	8	6	8
Splicing factor 3B subunit 4 OS=Homo sapiens GN=SF3B4 PE=1 SV=1	SF3B4_HUMAN	44 kDa	5	5	2	4	2	3	4	4	2	4	3	3
UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 OS=Homo sapiens GN=B3GNT2 PE=1 SV=2	B3GN2_HUMAN	46 kDa	5	5	5	5	5	1	2	2	1	3	0	1
Protein HEXIM1 OS=Homo sapiens GN=HEXIM1 PE=1 SV=1	HEXI1_HUMAN	41 kDa	2	4	2	0	1	0	7	5	6	1	1	3
Vasorin OS=Homo sapiens GN=VASN PE=1 SV=1	VASN_HUMAN	72 kDa	4	2	1	3	2	2	5	5	2	6	3	3
Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1	RUXE_HUMAN (+4)	11 kDa	5	3	3	3	5	5	4	4	3	5	2	3
Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1	AIFM1_HUMAN	67 kDa	3	1	2	2	3	1	6	3	3	4	1	3
Small ubiquitin-related modifier 1 OS=Homo sapiens GN=SUMO1 PE=1 SV=1	SUMO1_HUMAN	12 kDa	2	2	2	2	3	3	1	2	1	2	1	2
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2	AIMP1_HUMAN	34 kDa	4	4	5	3	3	4	3	5	3	2	2	2
Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2	SYHC_HUMAN	57 kDa	5	3	2	4	3	2	5	4	4	4	2	3
Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1	ROA0_HUMAN	31 kDa	0	3	1	0	2	3	1	0	3	0	0	2
Nucleosome assembly protein 1-like 4 OS=Homo sapiens GN=NAP1L4 PE=1 SV=1	NP1L4_HUMAN	43 kDa	9	6	5	3	3	2	7	7	7	4	4	2
Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2	GLRX1_HUMAN	12 kDa	4	4	3	2	2	2	5	5	4	6	4	2
60S ribosomal protein L30 OS=Homo sapiens GN=RPL30 PE=1 SV=2	RL30_HUMAN	13 kDa	0	3	4	2	3	4	5	3	4	3	4	3
Nicotinamide N-methyltransferase OS=Homo sapiens GN=NNMT PE=1 SV=1	NNMT_HUMAN	30 kDa	7	6	2	4	6	8	2	2	1	2	2	0
Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1	ROAA_MOUSE	31 kDa	7	6	4	4	0	8	5	8	2	6	8	6
Cell growth regulator with EF hand domain protein 1 OS=Homo sapiens GN=CGREF1 PE=2 SV=2	CGRE1_HUMAN	32 kDa	0	0	1	0	1	0	8	4	3	6	3	5
Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2	HBA_HUMAN	15 kDa	2	3	2	4	2	3	4	3	4	3	3	3
Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3	XPP1_HUMAN	70 kDa	5	2	4	3	3	4	2	1	4	5	2	2
Apolipoprotein A-I OS=Bos taurus GN=APOA1 PE=1 SV=3	APOA1_BOVIN	30 kDa	3	1	1	3	3	1	2	1	2	4	3	4
Fibulin-1 (Fragment) OS=Chlorocebus aethiops GN=FBLN1 PE=1 SV=1	FBLN1_CHLAE	66 kDa	5	3	5	10	5	13	10	6	8	10	16	6
Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1	CPSF5_HUMAN	26 kDa	4	6	4	5	2	2	2	1	0	1	1	3
Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3	COPE_HUMAN	34 kDa	5	3	2	3	2	3	2	4	0	3	0	0
Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Homo sapiens GN=HMGCS1 PE=1 SV=2	HMCS1_HUMAN	57 kDa	0	0	0	0	0	0	6	6	6	1	2	3
Inhibin beta A chain OS=Homo sapiens GN=INHBA PE=1 SV=2	INHBA_HUMAN	47 kDa	8	4	5	8	8	6	0	0	0	0	0	0
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Homo sapiens GN=PPP2R1A PE=1 SV=4	2AAA_HUMAN	65 kDa	1	3	2	4	3	3	5	6	6	2	3	2
Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	ARPC4_HUMAN	20 kDa	1	4	7	4	2	4	4	3	2	4	1	4
Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5	PYGB_HUMAN	97 kDa	2	4	4	7	7	10	4	6	6	4	2	2
Spermine synthase OS=Homo sapiens GN=SMS PE=1 SV=2	SPSY_HUMAN	41 kDa	7	3	3	5	2	5	2	2	2	4	2	1
ATP-dependent RNA helicase A OS=Homo sapiens GN=DHX9 PE=1 SV=4	DHX9_HUMAN	141 kDa	2	5	5	1	2	2	4	3	2	0	0	0
Roundabout homolog 1 OS=Homo sapiens GN=ROBO1 PE=1 SV=1	ROBO1_HUMAN	181 kDa	4	2	5	5	3	4	1	0	0	2	1	0
Apolipoprotein A-II OS=Bos taurus GN=APOA2 PE=1 SV=2	APOA2_BOVIN	11 kDa	1	2	0	5	3	1	2	1	0	4	3	1
Metalloproteinase inhibitor 2 OS=Oryctolagus cuniculus GN=TIMP2 PE=2 SV=1	TIMP2_RABIT	22 kDa	37	38	37	32	32	36	16	17	12	0	24	0
Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3	GILT_HUMAN	28 kDa	0	0	0	0	0	0	8	7	3	3	4	2
Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	RET4_HUMAN	23 kDa	0	0	0	0	0	0	7	8	4	6	6	6
Splicing factor 3B subunit 2 OS=Homo sapiens GN=SF3B2 PE=1 SV=2	SF3B2_HUMAN	100 kDa	1	2	4	2	2	1	2	3	3	2	2	2
Protein AMBP OS=Bos taurus GN=AMBP PE=1 SV=2	AMBP_BOVIN	39 kDa	5	3	2	5	2	4	3	2	2	5	3	3
Protein RCC2 OS=Homo sapiens GN=RCC2 PE=1 SV=2	RCC2_HUMAN	56 kDa	2	3	3	0	1	2	1	4	1	1	0	0
Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4	SF3B3_HUMAN	136 kDa	1	0	2	2	1	2	4	9	6	7	0	3
Furin OS=Homo sapiens GN=FURIN PE=1 SV=2	FURIN_HUMAN	87 kDa	1	3	2	2	2	2	3	5	2	3	2	2
Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3	ORN_HUMAN	27 kDa	5	4	4	3	4	1	3	2	2	3	3	3
Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3	TPR_HUMAN	267 kDa	0	1	2	1	1	1	2	2	3	2	2	3
E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3	HUWE1_HUMAN	482 kDa	0	0	0	0	0	0	4	5	0	0	0	0
Cell adhesion molecule 1 OS=Homo sapiens GN=CADM1 PE=1 SV=2	CADM1_HUMAN	49 kDa	2	3	2	3	3	1	3	4	3	5	4	3
Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4	COBA1_HUMAN	181 kDa	6	3	4	6	5	5	1	2	1	2	2	3
T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4	TCPG_HUMAN	61 kDa	1	2	2	2	1	1	6	7	6	2	1	2
Exostosin-1 OS=Homo sapiens GN=EXT1 PE=1 SV=2	EXT1_HUMAN	86 kDa	3	3	4	3	4	3	3	2	3	3	2	3
Catenin alpha-1 OS=Homo sapiens GN=CTNNA1 PE=1 SV=1	CTNA1_HUMAN	100 kDa	4	6	4	4	3	2	2	2	1	3	1	1
Apolipoprotein C-I OS=Homo sapiens GN=APOC1 PE=1 SV=1	APOC1_HUMAN	9 kDa	0	3	1	2	1	1	5	4	6	1	3	4
Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1	CERU_HUMAN	122 kDa	0	0	0	0	0	0	7	7	4	5	4	3
Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3	STMN1_HUMAN	17 kDa	1	2	2	3	2	2	1	3	2	2	2	2
CD81 antigen OS=Homo sapiens GN=CD81 PE=1 SV=1	CD81_HUMAN	26 kDa	4	2	3	3	2	2	3	5	3	4	4	4
CD9 antigen OS=Homo sapiens GN=CD9 PE=1 SV=4	CD9_HUMAN	25 kDa	3	2	4	3	3	2	4	3	3	5	3	4
Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2	PLSI_HUMAN	70 kDa	11	11	9	11	7	7	12	15	4	8	7	4
Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3	VAPA_HUMAN	28 kDa	3	2	3	1	3	3	2	3	2	1	4	1
Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1 PE=1 SV=2	NMT1_HUMAN	57 kDa	0	2	1	1	0	1	3	4	1	3	2	2
BolA-like protein 2 OS=Homo sapiens GN=BOLA2 PE=1 SV=1	BOLA2_HUMAN	10 kDa	1	1	2	0	1	2	3	5	3	3	4	2
Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1	AN32E_HUMAN	31 kDa	3	2	2	0	0	1	7	8	6	5	1	3
Phosphoserine phosphatase OS=Homo sapiens GN=PSPH PE=1 SV=2	SERB_HUMAN	25 kDa	2	2	0	0	0	0	3	5	6	3	3	2
NAD-dependent malic enzyme, mitochondrial OS=Homo sapiens GN=ME2 PE=1 SV=1	MAOM_HUMAN	65 kDa	4	6	3	6	2	3	1	0	0	1	2	0
Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2	HNRL1_HUMAN	96 kDa	2	2	2	0	1	0	0	1	1	0	2	0
Basal cell adhesion molecule OS=Homo sapiens GN=BCAM PE=1 SV=2	BCAM_HUMAN	67 kDa	0	1	0	1	0	0	2	3	2	14	6	7
Coatomer subunit gamma-1 OS=Homo sapiens GN=COPG1 PE=1 SV=1	COPG1_HUMAN	98 kDa	5	3	3	3	2	3	3	2	0	0	0	0
CR1_HUMAN-DECOY	CR1_HUMAN-DECOY	?	1	0	0	0	1	0	3	3	1	1	5	0
Hyaluronan and proteoglycan link protein 3 OS=Homo sapiens GN=HAPLN3 PE=2 SV=1	HPLN3_HUMAN	41 kDa	3	6	3	7	6	3	0	0	0	0	1	0
Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3	CADH1_HUMAN	97 kDa	0	0	0	0	0	0	6	6	6	5	6	2
Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2 PE=1 SV=3	DC1I2_HUMAN	71 kDa	3	1	2	2	1	3	5	4	3	3	3	3
Fetuin-B OS=Bos taurus GN=FETUB PE=2 SV=1	FETUB_BOVIN	43 kDa	2	2	2	3	2	3	3	1	3	1	3	4
Charged multivesicular body protein 4b OS=Homo sapiens GN=CHMP4B PE=1 SV=1	CHM4B_HUMAN	25 kDa	3	4	4	4	3	1	4	3	3	2	2	2
PEST proteolytic signal-containing nuclear protein OS=Homo sapiens GN=PCNP PE=1 SV=2	PCNP_HUMAN	19 kDa	2	2	2	3	2	2	3	5	3	4	2	3
60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	RL22_HUMAN	15 kDa	3	3	3	3	3	3	4	4	3	4	2	3
UV excision repair protein RAD23 homolog A OS=Homo sapiens GN=RAD23A PE=1 SV=1	RD23A_HUMAN	40 kDa	3	3	4	5	4	4	7	5	4	5	5	3
T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1	TCPA_HUMAN	60 kDa	2	3	2	1	2	2	3	2	1	1	1	2
Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3	IF2A_HUMAN	36 kDa	5	3	5	5	3	2	6	5	3	1	0	1
ATP-dependent RNA helicase DDX1 OS=Homo sapiens GN=DDX1 PE=1 SV=2	DDX1_HUMAN	82 kDa	5	3	4	4	1	2	2	2	1	3	0	1
Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1	TBB4B_HUMAN	50 kDa	23	19	19	17	20	0	50	47	45	22	20	21
Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens GN=USP5 PE=1 SV=2	UBP5_HUMAN	96 kDa	1	3	4	3	2	1	4	5	1	1	0	2
Insulin-like growth factor-binding protein 2 OS=Bos taurus GN=IGFBP2 PE=1 SV=2	IBP2_BOVIN	34 kDa	12	8	9	16	2	10	12	0	5	9	10	4
Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2	GSHR_HUMAN	56 kDa	3	0	0	0	0	0	2	2	1	4	2	2
